process,lemma,nova_label,confidence,frequency
scald,scald,NOVA 4,0.35737464,126
barbecue,barbecue,NOVA 3,0.7728544,119
twist,twist,NOVA 1,0.4386633,119
unmold,unmold,NOVA 3,-0.021374056,116
poach,poach,NOVA 3,0.79944307,115
presentation,presentation,NOVA 2,0.40943098,111
dress,dress,NOVA 3,0.25125894,111
smear,smear,NOVA 2,0.40397835,109
crockpot,crockpot,NOVA 3,0.70257926,108
overmix,overmix,NOVA 4,0.050911292,108
smash,smash,NOVA 1,0.4386633,104
devein,devein,NOVA 3,0.5603952,103
powdered,powder,NOVA 4,0.53292626,102
moist,moist,NOVA 3,0.57854617,102
evaporate,evaporate,NOVA 4,0.6278323,100
flake,flake,NOVA 4,0.4326479,97
roux,roux,NOVA 3,0.79944307,95
slit,slit,NOVA 1,0.33480868,92
dripping,drip,NOVA 4,0.4331666,91
repeat,repeat,NOVA 2,0.30861494,90
parboil,parboil,NOVA 3,0.5943536,89
unfold,unfold,NOVA 2,0.27013546,88
rising,rise,NOVA 2,0.49368864,88
sprout,sprout,NOVA 3,0.75396544,88
stretch,stretch,NOVA 3,0.4299379,87
steep,steep,NOVA 2,0.3602325,85
condensed,condense,NOVA 4,0.6278323,81
braise,braise,NOVA 3,0.7173461,81
minced,mince,NOVA 3,0.7728544,78
whirl,whirl,NOVA 1,0.4027103,78
tilt,tilt,NOVA 1,0.2683435,76
lard,lard,NOVA 4,0.42443866,75
deflate,deflate,NOVA 2,0.29638335,73
sort,sort,NOVA 2,0.44366434,71
strip,strip,NOVA 2,0.29808882,70
dollop,dollop,NOVA 3,0.43195477,69
submerge,submerge,NOVA 4,0.28517583,69
rotate,rotate,NOVA 4,0.46990788,68
splash,splash,NOVA 1,0.6419678,67
pan-fry,pan - fry,NOVA 3,0.7773267,67
curdle,curdle,NOVA 4,0.4512678,66
char,char,NOVA 2,0.12241541,65
freezing,freezing,NOVA 4,0.45156637,65
stop,stop,NOVA 1,0.52172565,65
slash,slash,NOVA 1,0.17906798,63
crimp,crimp,NOVA 1,0.29533815,60
muddle,muddle,NOVA 2,0.25700566,60
sterilize,sterilize,NOVA 4,0.4446532,55
blot,blot,NOVA 4,0.1543501,54
touch,touch,NOVA 2,0.3636237,53
flavoring,flavoring,NOVA 4,0.65191,53
foam,foam,NOVA 4,0.30537772,53
