process,lemma,pos,nova_label,confidence,score_gap,frequency
burn,burn,VERB,NOVA 1,0.48173454,0.029072672,365
assemble,assemble,VERB,NOVA 2,0.4984683,0.018268794,299
distribute,distribute,VERB,NOVA 2,0.4984683,0.018268794,193
floured,flour,VERB,NOVA 3,0.51611155,0.040019035,216
put,put,VERB,NOVA 1,0.52172565,0.003429234,10515
turn,turn,VERB,NOVA 1,0.52172565,0.003429234,1099
throw,throw,VERB,NOVA 1,0.52172565,0.003429234,249
start,start,VERB,NOVA 1,0.52172565,0.003429234,165
stop,stop,VERB,NOVA 1,0.52172565,0.003429234,65
splutter,splutter,NOUN,NOVA 3,0.5367633,0.018854856,132
wrap,wrap,NOUN,NOVA 3,0.56037533,0.049023032,2183
unwrap,unwrap,NOUN,NOVA 3,0.56037533,0.049023032,144
skim,skim,NOUN,NOVA 3,0.5980553,0.0450148,601
drain,drain,NOUN,NOVA 1,0.6419678,0.013976753,21697
soak,soak,VERB,NOVA 1,0.6419678,0.013976753,2167
scoop,scoop,VERB,NOVA 1,0.6419678,0.013976753,1398
shake,shake,VERB,NOVA 1,0.6419678,0.013976753,1151
squeeze,squeeze,NOUN,NOVA 1,0.6419678,0.013976753,953
splash,splash,NOUN,NOVA 1,0.6419678,0.013976753,67
dash,dash,NOUN,NOVA 1,0.6419678,0.013976753,52
