process,lemma,pos,nova_label,confidence,score_gap,frequency
sieve,sieve,NOUN,NOVA 1,0.5336762,0.13345397,234
hold,hold,VERB,NOVA 2,0.38246244,0.07329169,233
swirl,swirl,NOUN,NOVA 3,0.57854617,0.118605435,233
poke,poke,VERB,NOVA 1,0.3948643,0.12321901,226
charred,char,VERB,NOVA 2,0.12241541,0.055894442,216
floured,flour,VERB,NOVA 3,0.51611155,0.040019035,216
sizzle,sizzle,VERB,NOVA 3,0.8254789,0.2084263,214
wet,wet,ADJ,NOVA 1,0.30200934,0.03779459,210
dump,dump,VERB,NOVA 1,0.49289858,0.056294262,205
mound,mound,VERB,NOVA 3,0.4299379,0.030701369,205
frost,frost,NOUN,NOVA 1,0.2903504,0.013699293,200
test,test,NOUN,NOVA 2,0.24075192,0.09148064,195
thaw,thaw,NOUN,NOVA 3,0.76309395,0.18565965,193
distribute,distribute,VERB,NOVA 2,0.4984683,0.018268794,193
wait,wait,VERB,NOVA 1,0.43968385,0.088520944,190
sit,sit,VERB,NOVA 1,0.35039565,0.04328239,185
glaze,glaze,VERB,NOVA 4,0.42114204,0.069264054,185
scrub,scrub,NOUN,NOVA 4,0.48848632,0.17166886,184
carve,carve,VERB,NOVA 3,0.40291062,0.009762824,183
drip,drip,NOUN,NOVA 4,0.45617318,0.11474323,181
overcook,overcook,PROPN,NOVA 3,0.7278615,0.1720016,178
stew,stew,NOUN,NOVA 3,0.753448,0.18676013,178
start,start,VERB,NOVA 1,0.52172565,0.003429234,165
style,style,NOUN,NOVA 2,0.4134057,0.045771807,159
select,select,VERB,NOVA 2,0.25253275,0.088690996,155
griddle,griddle,VERB,NOVA 3,0.70257926,0.18051267,154
unroll,unroll,VERB,NOVA 1,0.13552083,0.07311843,153
insert,insert,VERB,NOVA 2,0.16674379,0.056126676,150
sweat,sweat,VERB,NOVA 2,0.4271606,0.012554973,150
tuck,tuck,NOUN,NOVA 1,0.19163993,0.00038217008,149
meld,meld,VERB,NOVA 4,0.47310242,0.016216695,146
unwrap,unwrap,NOUN,NOVA 3,0.56037533,0.049023032,144
scorching,scorch,VERB,NOVA 4,0.49937904,0.17010355,141
caramelize,caramelize,VERB,NOVA 3,0.8464666,0.15029573,135
defrost,defrost,VERB,NOVA 3,0.70257926,0.18051267,132
splutter,splutter,NOUN,NOVA 3,0.5367633,0.018854856,132
scramble,scramble,VERB,NOVA 3,0.2695493,0.00638327,130
thicken,thicken,VERB,NOVA 3,0.79944307,0.26988333,128
scald,scald,NOUN,NOVA 4,0.37117305,0.04915911,126
barbecue,barbecue,NOUN,NOVA 3,0.7728544,0.20275325,119
twist,twist,VERB,NOVA 1,0.4386633,0.05196607,119
unmold,unmold,NOUN,NOVA 3,-0.021374056,0.0028751139,116
poach,poach,VERB,NOVA 3,0.79944307,0.26988333,115
presentation,presentation,NOUN,NOVA 2,0.40943098,0.2206414,111
dress,dress,NOUN,NOVA 3,0.25125894,0.02043128,111
smear,smear,VERB,NOVA 2,0.40397835,0.036659747,109
crockpot,crockpot,NOUN,NOVA 3,0.70257926,0.18051267,108
overmix,overmix,NOUN,NOVA 4,0.09972197,0.06393588,108
smash,smash,VERB,NOVA 1,0.4386633,0.05196607,104
devein,devein,NOUN,NOVA 3,0.5603952,0.18288577,103
powdered,powder,VERB,NOVA 4,0.5525905,0.1775451,102
moist,moist,NOUN,NOVA 3,0.57854617,0.118605435,102
evaporate,evaporate,VERB,NOVA 4,0.664465,0.26639673,100
flake,flake,NOUN,NOVA 4,0.45766523,0.13696063,97
roux,roux,VERB,NOVA 3,0.79944307,0.26988333,95
slit,slit,NOUN,NOVA 1,0.33480868,0.07418734,92
dripping,drip,VERB,NOVA 4,0.45617318,0.11474323,91
repeat,repeat,VERB,NOVA 2,0.30861494,0.015106708,90
parboil,parboil,NOUN,NOVA 3,0.5943536,0.12220234,89
unfold,unfold,VERB,NOVA 2,0.27013546,0.10197532,88
rising,rise,VERB,NOVA 2,0.49368864,0.15409598,88
sprout,sprout,NOUN,NOVA 3,0.75396544,0.17023921,88
stretch,stretch,VERB,NOVA 3,0.4299379,0.030701369,87
steep,steep,ADJ,NOVA 2,0.3602325,0.025621176,85
condensed,condense,VERB,NOVA 4,0.664465,0.26639673,81
braise,braise,NOUN,NOVA 3,0.7173461,0.32379845,81
minced,mince,VERB,NOVA 3,0.7728544,0.20275325,78
whirl,whirl,NOUN,NOVA 1,0.4027103,0.042897195,78
tilt,tilt,NOUN,NOVA 1,0.2683435,0.07898724,76
lard,lard,NOUN,NOVA 4,0.45634145,0.08002347,75
deflate,deflate,VERB,NOVA 2,0.29638335,0.056608617,73
sort,sort,ADV,NOVA 2,0.44366434,0.02773574,71
strip,strip,VERB,NOVA 2,0.29808882,0.041777343,70
dollop,dollop,NOUN,NOVA 3,0.43195477,0.020575017,69
submerge,submerge,VERB,NOVA 4,0.3060856,0.14586101,69
rotate,rotate,VERB,NOVA 4,0.46133196,0.12882972,68
splash,splash,NOUN,NOVA 1,0.6419678,0.013976753,67
pan-fry,pan fry,ADJ;ADJ;NOUN,NOVA 3,0.8792496,0.17755157,67
curdle,curdle,VERB,NOVA 4,0.4785007,0.05874908,66
char,char,PROPN,NOVA 2,0.12241541,0.055894442,65
freezing,freezing,NOUN,NOVA 4,0.44443956,0.03767535,65
stop,stop,VERB,NOVA 1,0.52172565,0.003429234,65
slash,slash,NOUN,NOVA 1,0.17906798,0.07201862,63
crimp,crimp,VERB,NOVA 4,0.2970386,0.0017004609,60
muddle,muddle,VERB,NOVA 2,0.25700566,0.05457695,60
sterilize,sterilize,VERB,NOVA 4,0.49624792,0.2620461,55
blot,blot,NOUN,NOVA 4,0.16141894,0.058792986,54
touch,touch,NOUN,NOVA 2,0.3636237,0.053784758,53
flavoring,flavoring,NOUN,NOVA 4,0.67915916,0.33411112,53
foam,foam,NOUN,NOVA 4,0.32262278,0.109182954,53
dash,dash,NOUN,NOVA 1,0.6419678,0.013976753,52
snap,snap,VERB,NOVA 1,0.4386633,0.05196607,52
immerse,immerse,VERB,NOVA 4,0.37412414,0.032515585,52
settle,settle,VERB,NOVA 2,0.26461414,0.11532408,50
massage,massage,NOUN,NOVA 2,0.32275862,0.03286913,50
sweeten,sweeten,NOUN,NOVA 4,0.5944812,0.29080525,49
wilt,wilt,NOUN,NOVA 1,0.19598372,0.032041863,48
slather,slather,NOUN,NOVA 2,0.40397835,0.036659747,47
mould,mould,AUX,NOVA 4,0.3630807,0.0495784,47
blitz,blitz,PROPN,NOVA 2,0.4263743,0.1320687,47
