Protein,Total Fat,Carbohydrate,"Sugars, total","Fiber, total dietary",Calcium,Iron,Sodium,Vitamin D (D2 + D3),Cholesterol,"Fatty acids, total saturated",Potassium,Energy,novaclass
4.4,0.8,19.7,12.61,2.0,159.0,0.04,81.0,0.0,4.0,0.488,339.0,104.0,4
3.0,3.6,21.6,19.78,0.5,100.0,0.46,63.0,0.1,13.0,2.315,172.0,127.0,4
3.0,3.6,21.6,19.24,2.3,100.0,0.46,63.0,0.1,13.0,2.272,234.0,127.0,4
3.0,3.6,21.6,19.92,0.0,100.0,0.46,63.0,0.1,13.0,2.326,156.0,127.0,4
3.22,16.41,28.92,28.42,0.2,112.0,0.36,68.0,0.1,2.0,13.036,182.0,270.0,4
4.93,11.37,31.39,26.26,0.9,179.0,0.52,91.0,0.1,2.0,9.154,306.0,244.0,4
4.64,5.13,37.68,25.89,0.4,112.0,0.41,67.0,0.1,2.0,2.766,178.0,212.0,4
5.15,9.12,31.37,22.35,1.5,129.0,2.13,100.0,0.1,2.0,5.406,253.0,214.0,4
4.48,5.38,31.5,24.2,0.2,131.0,0.8,107.0,0.1,2.0,3.073,203.0,189.0,4
5.42,1.86,11.27,6.98,0.2,174.0,0.29,81.0,0.0,6.0,1.013,227.0,84.0,4
5.4,2.24,25.15,18.07,1.6,148.0,1.04,70.0,0.0,5.0,1.222,310.0,131.0,4
3.47,3.25,4.66,4.66,0.0,121.0,0.05,46.0,0.1,13.0,2.096,155.0,61.0,4
3.22,3.3,13.11,11.46,0.4,102.0,2.16,40.0,0.0,12.0,1.711,146.0,95.0,4
3.05,3.08,13.0,11.46,0.6,98.0,4.18,38.0,0.0,10.0,1.582,143.0,92.0,4
3.4,3.53,13.22,11.46,0.3,107.0,0.15,41.0,0.1,14.0,1.84,149.0,98.0,4
3.17,3.39,10.34,9.54,0.8,112.0,0.24,60.0,1.3,12.0,2.104,167.0,83.0,4
2.99,1.9,12.13,9.55,0.7,109.0,0.24,66.0,1.2,8.0,1.177,169.0,76.0,4
3.42,0.28,10.94,10.15,0.5,115.0,0.28,39.0,1.1,2.0,0.176,185.0,56.0,4
3.24,1.0,10.44,9.94,0.5,116.0,0.27,61.0,1.1,3.0,0.616,170.0,63.0,4
3.05,1.83,12.08,11.4,0.4,164.0,0.03,49.0,1.1,8.0,1.124,130.0,77.0,4
4.55,4.19,8.05,8.05,0.0,130.0,0.2,54.0,1.2,59.0,2.591,165.0,88.0,4
3.68,0.39,21.58,20.62,1.0,130.0,0.04,58.0,0.1,3.0,0.247,183.0,96.0,4
3.4,3.7,20.5,18.6,1.9,113.0,0.31,97.0,0.0,13.0,2.313,200.0,127.0,4
3.37,6.52,19.59,13.63,0.9,115.0,0.46,81.0,0.0,23.0,3.962,166.0,148.0,4
0.64,0.4,10.68,8.68,0.6,100.0,0.33,91.0,1.3,0.0,0.31,79.0,49.0,4
5.46,1.84,12.93,13.08,0.1,141.0,1.71,89.0,1.1,8.0,1.076,248.0,90.0,4
5.74,2.15,7.59,7.65,0.2,148.0,0.2,95.0,1.1,10.0,1.23,260.0,73.0,4
5.82,0.46,7.68,7.65,0.2,151.0,0.2,93.0,1.1,5.0,0.215,273.0,58.0,4
3.5,1.4,10.9,10.9,0.0,80.0,1.44,170.0,1.1,2.0,0.255,182.0,70.0,4
4.21,2.63,12.94,12.91,0.0,92.0,1.66,66.0,0.9,3.0,0.356,132.0,92.0,4
5.7,2.2,13.0,13.0,0.0,94.0,1.55,86.0,0.3,0.0,0.36,193.0,94.0,4
5.7,2.2,13.0,13.0,0.0,94.0,1.55,86.0,0.3,0.0,0.36,193.0,94.0,4
1.42,3.52,6.98,6.88,0.0,54.0,1.17,19.0,1.0,1.0,1.364,71.0,64.0,4
1.8,3.63,6.77,4.4,0.0,69.0,1.18,29.0,0.7,1.0,1.838,77.0,66.0,4
1.8,3.63,6.77,4.4,0.0,69.0,1.18,29.0,0.7,1.0,1.838,77.0,66.0,4
1.79,3.61,6.65,4.38,0.0,71.0,1.17,32.0,0.7,1.0,1.829,77.0,66.0,4
1.8,3.63,6.77,4.4,0.0,69.0,1.18,29.0,0.7,1.0,1.838,77.0,67.0,4
1.8,3.63,6.77,4.4,0.0,69.0,1.18,29.0,0.7,1.0,1.838,77.0,67.0,4
1.8,3.63,6.77,4.4,0.0,69.0,1.18,29.0,0.7,1.0,1.838,77.0,67.0,4
1.38,3.5,7.18,7.18,0.0,51.0,0.46,18.0,1.0,1.0,1.479,71.0,63.0,4
